model,strategy,task,n_examples,n_runs,accuracy_mean,accuracy_median,latency_mean_s,latency_median_s,token_usage_mean,token_usage_median
kimi,best_of_n,truthfulqa,800,2,0.83125,1.0,3.493339037001133,2.493942379951477,330.22625,318.0
kimi,oracle,truthfulqa,800,2,0.90375,1.0,0.7769026121497155,0.5252814292907715,226.31125,216.0
kimi,self_refine,truthfulqa,800,2,0.725,1.0,4.55384718298912,3.3202813863754272,556.43,547.0
kimi,single_pass,truthfulqa,800,2,0.85875,1.0,0.6237273728847503,0.49602043628692627,110.0775,106.0
llama,best_of_n,arc,800,2,0.78375,1.0,4.6411421850323675,0.2525980472564697,273.52,258.0
llama,oracle,arc,800,2,0.84625,1.0,0.7788370031118393,0.03395438194274902,190.9075,182.0
llama,self_refine,arc,800,2,0.635,1.0,11.70371122956276,0.6874369382858276,501.8575,484.0
llama,single_pass,arc,800,2,0.7825,1.0,0.6470739391446113,0.033823609352111816,91.10625,86.0
llama,best_of_n,gsm8k,800,2,0.29,0.0,19.838632941246033,1.3564412593841553,328.93375,309.0
llama,oracle,gsm8k,800,2,0.3675,0.0,6.853981542289257,0.4079301357269287,249.64,227.0
llama,self_refine,gsm8k,800,2,0.45875,0.0,29.145220793783665,1.6233322620391846,599.6975,568.0
llama,single_pass,gsm8k,800,2,0.33125,0.0,6.350330341160298,0.39259302616119385,111.2175,103.0
llama,best_of_n,humaneval,120,2,0.275,0.0,42.94144017696381,2.7281419038772583,720.7083333333334,686.0
llama,self_refine,humaneval,120,2,0.15,0.0,40.09417970577876,2.3490060567855835,984.1416666666667,938.5
llama,single_pass,humaneval,120,2,0.24166666666666667,0.0,13.108713704347611,0.846359372138977,238.73333333333332,229.0
llama,best_of_n,truthfulqa,800,2,0.41875,0.0,5.893084152638912,0.25240516662597656,314.8625,303.0
llama,oracle,truthfulqa,800,2,0.54625,1.0,1.9878652307391167,0.0667123794555664,232.505,228.0
llama,self_refine,truthfulqa,800,2,0.29125,0.0,13.480027931034565,0.6653071641921997,540.88625,527.0
llama,single_pass,truthfulqa,800,2,0.4325,0.0,1.1666304060816766,0.033738136291503906,104.9,101.0
qwen,best_of_n,arc,800,2,0.90375,1.0,3.732175524234772,0.17667770385742188,328.50375,315.0
qwen,oracle,arc,800,2,0.9375,1.0,0.5321805873513221,0.037978172302246094,222.8525,212.0
qwen,self_refine,arc,800,2,0.86875,1.0,6.287125446498394,0.4125155210494995,519.00625,503.0
qwen,single_pass,arc,800,2,0.90375,1.0,0.4328365361690521,0.037966132164001465,109.50125,105.0
qwen,best_of_n,gsm8k,800,2,0.18,0.0,5.01558429479599,0.23032820224761963,327.2425,317.5
qwen,oracle,gsm8k,800,2,0.25875,0.0,2.480815099477768,0.10535430908203125,252.27875,247.0
qwen,self_refine,gsm8k,800,2,0.15625,0.0,9.240622308552265,0.4257625341415405,522.08875,513.0
qwen,single_pass,gsm8k,800,2,0.18,0.0,1.5182642903923989,0.0655677318572998,109.13125,105.5
qwen,best_of_n,humaneval,120,2,0.7333333333333333,1.0,44.94404614965121,2.350200653076172,778.75,743.0
qwen,self_refine,humaneval,120,2,0.5583333333333333,1.0,34.88470406134923,1.9472343921661377,1015.2916666666666,981.0
qwen,single_pass,humaneval,120,2,0.6583333333333333,1.0,15.19526746471723,0.8092333078384399,258.71666666666664,248.0
qwen,best_of_n,truthfulqa,800,2,0.6325,1.0,4.597102769613266,0.17524147033691406,370.12875,358.5
qwen,oracle,truthfulqa,800,2,0.69375,1.0,1.579223495721817,0.07079601287841797,260.9025,253.0
qwen,self_refine,truthfulqa,800,2,0.63,1.0,10.015144366621971,0.3872314691543579,559.58125,549.5
qwen,single_pass,truthfulqa,800,2,0.64625,1.0,0.6842975485324859,0.03803837299346924,123.37625,119.5
