group_level,comparison,model,task,n_examples,baseline_accuracy,comparison_accuracy,accuracy_diff,ci_lower,ci_upper,ci_excludes_zero
model,oracle_vs_single_pass,kimi,,2400,0.8395833333333333,0.9020833333333333,0.0625,0.05208333333333326,0.07333333333333336,True
model,oracle_vs_single_pass,llama,,2400,0.5154166666666666,0.5866666666666667,0.07125000000000004,0.06125000000000003,0.08166666666666667,True
model,oracle_vs_single_pass,qwen,,2400,0.5766666666666667,0.63,0.053333333333333344,0.04458333333333331,0.06208333333333338,True
model_task,oracle_vs_single_pass,claude,arc,800,0.94875,0.97,0.02124999999999999,0.012499999999999956,0.03249999999999997,True
model_task,oracle_vs_single_pass,claude,gsm8k,800,0.96625,0.98625,0.019999999999999907,0.011249999999999982,0.030000000000000027,True
model_task,oracle_vs_single_pass,claude,truthfulqa,800,0.8425,0.925,0.08250000000000002,0.06374999999999997,0.10250000000000004,True
model_task,oracle_vs_single_pass,gpt,arc,800,0.975,0.99,0.015000000000000013,0.007499999999999951,0.02375000000000005,True
model_task,oracle_vs_single_pass,gpt,gsm8k,800,0.9625,0.98125,0.018749999999999933,0.008750000000000036,0.028750000000000053,True
model_task,oracle_vs_single_pass,gpt,truthfulqa,800,0.84,0.9175,0.07750000000000001,0.05874999999999997,0.09750000000000003,True
model_task,oracle_vs_single_pass,kimi,arc,800,0.9625,0.9825,0.020000000000000018,0.010000000000000009,0.030000000000000027,True
model_task,oracle_vs_single_pass,kimi,gsm8k,800,0.6975,0.82,0.12249999999999994,0.09625000000000006,0.14874999999999994,True
model_task,oracle_vs_single_pass,kimi,truthfulqa,800,0.85875,0.90375,0.04500000000000004,0.03125,0.06000000000000005,True
model_task,oracle_vs_single_pass,llama,arc,800,0.7825,0.84625,0.06374999999999997,0.04749999999999999,0.08000000000000007,True
model_task,oracle_vs_single_pass,llama,gsm8k,800,0.33125,0.3675,0.036250000000000004,0.023749999999999993,0.04999999999999999,True
model_task,oracle_vs_single_pass,llama,truthfulqa,800,0.4325,0.54625,0.11375000000000002,0.09249999999999997,0.13625000000000004,True
model_task,oracle_vs_single_pass,qwen,arc,800,0.90375,0.9375,0.03374999999999995,0.021250000000000102,0.04625000000000001,True
model_task,oracle_vs_single_pass,qwen,gsm8k,800,0.18,0.25875,0.07874999999999999,0.06,0.0975,True
model_task,oracle_vs_single_pass,qwen,truthfulqa,800,0.64625,0.69375,0.04749999999999999,0.03374999999999995,0.06374999999999997,True
model,self_refine_vs_single_pass,claude,,2520,0.9222222222222223,0.9067460317460317,-0.015476190476190532,-0.023809523809523836,-0.0071428571428572285,True
model,self_refine_vs_single_pass,gpt,,2520,0.9285714285714286,0.9119047619047619,-0.01666666666666672,-0.02420634920634923,-0.009126984126984206,True
model,self_refine_vs_single_pass,kimi,,2520,0.8388888888888889,0.8126984126984127,-0.02619047619047621,-0.04127976190476187,-0.011111111111111183,True
model,self_refine_vs_single_pass,llama,,2520,0.5023809523809524,0.44682539682539685,-0.055555555555555525,-0.07460317460317456,-0.036111111111111094,True
model,self_refine_vs_single_pass,qwen,,2520,0.5805555555555556,0.551984126984127,-0.02857142857142858,-0.040476190476190554,-0.01666666666666672,True
model_task,self_refine_vs_single_pass,claude,arc,800,0.94875,0.955,0.006249999999999978,-0.0050000000000000044,0.01750000000000007,False
model_task,self_refine_vs_single_pass,claude,gsm8k,800,0.96625,0.9675,0.0012499999999999734,-0.007500000000000062,0.010000000000000009,False
model_task,self_refine_vs_single_pass,claude,humaneval,120,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,False
model_task,self_refine_vs_single_pass,claude,truthfulqa,800,0.8425,0.78625,-0.05625000000000002,-0.07874999999999999,-0.03500000000000003,True
model_task,self_refine_vs_single_pass,gpt,arc,800,0.975,0.9525,-0.022499999999999964,-0.03499999999999992,-0.011249999999999982,True
model_task,self_refine_vs_single_pass,gpt,gsm8k,800,0.9625,0.96,-0.0025000000000000577,-0.011249999999999982,0.006249999999999978,False
model_task,self_refine_vs_single_pass,gpt,humaneval,120,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,False
model_task,self_refine_vs_single_pass,gpt,truthfulqa,800,0.84,0.8125,-0.02749999999999997,-0.04625000000000001,-0.007500000000000062,True
model_task,self_refine_vs_single_pass,kimi,arc,800,0.9625,0.95125,-0.011249999999999982,-0.02375000000000005,0.0012499999999999734,False
model_task,self_refine_vs_single_pass,kimi,gsm8k,800,0.6975,0.7375,0.040000000000000036,0.008718749999999938,0.07250000000000001,True
model_task,self_refine_vs_single_pass,kimi,humaneval,120,0.825,0.975,0.15000000000000002,0.08333333333333337,0.21666666666666667,True
model_task,self_refine_vs_single_pass,kimi,truthfulqa,800,0.85875,0.725,-0.13375000000000004,-0.16375000000000006,-0.10375000000000001,True
model_task,self_refine_vs_single_pass,llama,arc,800,0.7825,0.635,-0.14749999999999996,-0.1775,-0.11750000000000005,True
model_task,self_refine_vs_single_pass,llama,gsm8k,800,0.33125,0.45875,0.1275,0.08875,0.16749999999999998,True
model_task,self_refine_vs_single_pass,llama,humaneval,120,0.24166666666666667,0.15,-0.09166666666666667,-0.16666666666666669,-0.016666666666666663,True
model_task,self_refine_vs_single_pass,llama,truthfulqa,800,0.4325,0.29125,-0.14125,-0.16874999999999996,-0.11375000000000002,True
model_task,self_refine_vs_single_pass,qwen,arc,800,0.90375,0.86875,-0.03500000000000003,-0.05125000000000002,-0.01750000000000007,True
model_task,self_refine_vs_single_pass,qwen,gsm8k,800,0.18,0.15625,-0.023749999999999993,-0.05124999999999999,0.0025000000000000022,False
model_task,self_refine_vs_single_pass,qwen,humaneval,120,0.6583333333333333,0.5583333333333333,-0.09999999999999998,-0.19999999999999996,0.0,False
model_task,self_refine_vs_single_pass,qwen,truthfulqa,800,0.64625,0.63,-0.016249999999999987,-0.03125,-0.0012499999999999734,True
